Nick,Message,Timestamp
kennafrost,hey guys the five doctors is today right?,2019-01-22 21:01:45
margflower,rip,2019-01-22 21:01:45
roaminganon,"oh yeah, this is the space episode from the memes",2019-01-22 21:01:45
glennrules,who is enjoying the black guardian stories,2019-01-22 21:01:47
supaflash82,the winner takes it all the loser standing small beside the victory that's her destiny,2019-01-22 21:01:49
coffeefilter,woot..more rum,2019-01-22 21:01:50
toratora_tt,sailed too close to the wind,2019-01-22 21:01:57
ph33ni3,f,2019-01-22 21:01:59
c141c130,oban space racers,2019-01-22 21:01:59
ezco81,extra ration :p,2019-01-22 21:02:11
captainjotaro,@kennafrost that's being skipped.,2019-01-22 21:02:13
comanderskittles,oh look its a space ship he he,2019-01-22 21:02:14
stufew,"to lose is to win, and he who wins shall lose :)",2019-01-22 21:02:17
drakooooon,:) not now tegan,2019-01-22 21:02:21
serenity39,"get it, its a space...ship :)",2019-01-22 21:02:23
jkh08,@kennafrost we didn't get five doctors last time,2019-01-22 21:02:24
whokn0ws54,@kennafrost no 5 on here,2019-01-22 21:02:28
kennafrost,:'(,2019-01-22 21:02:41
potassionite,no five doctors due to 3 seconds of dalek in the death zone,2019-01-22 21:02:43
elios000,irl a close reach is the fastest point of sail who ever wrote this knew there sailing,2019-01-22 21:02:49
rafael_de8,what happened to nyssa?,2019-01-22 21:02:52
captainjotaro,did nyssa leave already?,2019-01-22 21:02:52
potassionite,you can watch it on archive org,2019-01-22 21:02:52
camouflagecaper,this episode is great,2019-01-22 21:03:04
comanderskittles,no 5 doctors,2019-01-22 21:03:07
potassionite,it's episodes are officially on there along with day of the doctor,2019-01-22 21:03:08
mitsukara,"""what is against the rules?"" ""breaking the rules, of course""",2019-01-22 21:03:14
mistersp00n,tasty minds,2019-01-22 21:03:19
kennafrost,<3 i dont understand,2019-01-22 21:03:23
bradster1977,or get the dvd for a couple of quid in entertainment exchange.,2019-01-22 21:03:23
southernuk,the budget for this series must have been stunningly small,2019-01-22 21:03:27
potassionite,@captainjotaro nyssa left in terminus just before this episode,2019-01-22 21:03:29
comanderskittles,do we get renbrance,2019-01-22 21:03:35
potassionite,we don't get any daleks,2019-01-22 21:03:48
drakooooon,:) chin dynasty,2019-01-22 21:03:48
xhodocto385,eternals are interested in humans,2019-01-22 21:03:51
c141c130,nyssa let in the last episode. stayed on terminus to perfect the cure,2019-01-22 21:03:54
potassionite,so no rememberance,2019-01-22 21:03:54
bradster1977,no. no more dalek stories being shown.,2019-01-22 21:03:59
earthtobound,the floof,2019-01-22 21:04:02
potassionite,blame the terry nation estate,2019-01-22 21:04:03
jovetne,*don't get any more daleks,2019-01-22 21:04:05
elios000,southernuk very they basicly worked around what they could find left over from other bbc shows,2019-01-22 21:04:07
supaflash82,mr chin,2019-01-22 21:04:09
captainjotaro,@potassionite i shall miss her. she was one of the companions.,2019-01-22 21:04:14
toratora_tt,doc gonna get keel hauled,2019-01-22 21:04:27
changewinds,5 sounds nearly as out of breath as 13,2019-01-22 21:04:30
southernuk,doesn't surprise me @elios000,2019-01-22 21:04:32
comanderskittles,no frick this im out,2019-01-22 21:04:32
mistersp00n,eternals secretly love reality tv for the same reason,2019-01-22 21:04:40
drakooooon,:),2019-01-22 21:04:46
potassionite,real subtle turlough,2019-01-22 21:04:53
mclarenmercedes_,"@changewinds yeah, i've noticed that",2019-01-22 21:04:54
troyisimba,:d the music,2019-01-22 21:04:56
ammeeba,the music :d,2019-01-22 21:04:58
bearchylls,i have to run an errand but this series is pretty good so far. :(,2019-01-22 21:04:59
lancelive,"rewatching this, davison's influence on tennant and whittaker is so obvious",2019-01-22 21:05:00
midwintermoon,that music,2019-01-22 21:05:02
mitsukara,"would space keelhauling even be dangerous, if you had a spacesuit?",2019-01-22 21:05:03
doctordiscofan,ginger needs a new friend,2019-01-22 21:05:03
jive_turkey1999,music,2019-01-22 21:05:04
drakooooon,:) im disgusted,2019-01-22 21:05:08
elios000,southernuk mind you its they did as much as they did with it too,2019-01-22 21:05:10
southernuk,i remember going to the old momo museum of moving image on the london south bank in the early 90s where they showed some of the props from the various decades - crazy primitive,2019-01-22 21:05:12
mclarenmercedes_,jodie is a female davison,2019-01-22 21:05:12
camouflagecaper,martykroft show,2019-01-22 21:05:19
c141c130,saved in the library,2019-01-22 21:05:29
xhodocto385,aliens :) cant understand,2019-01-22 21:05:36
comanderskittles,no renbrance no gratest show in the galexy,2019-01-22 21:05:39
dyveklykan,davison's physicality also occasionally dials through a couple of his predecessors too.,2019-01-22 21:05:43
drakooooon,:) hes just trying to be nice tegan,2019-01-22 21:05:46
xhodocto385,we have short lives,2019-01-22 21:05:46
wakeupshoyuu,jodie is a scronch,2019-01-22 21:05:56
spectatorlo_ol,she's a grill,2019-01-22 21:05:58
cmc12345678war910111213,stalker alert,2019-01-22 21:06:04
costia,:) tegan,2019-01-22 21:06:05
zamzoph,a human bean,2019-01-22 21:06:06
mistersp00n,"jodie is still quite different to davison. davison is often tetchy and panicked,",2019-01-22 21:06:07
ammeeba,he's in love...,2019-01-22 21:06:07
drakooooon,:),2019-01-22 21:06:09
fuzzycorona,nice guy,2019-01-22 21:06:11
dyveklykan,the meaning of life.,2019-01-22 21:06:15
comanderskittles,im sorry im mad,2019-01-22 21:06:15
nepixz,hes trying to get some pus,2019-01-22 21:06:16
reeve2,we do get greatest show in the galaxy tho,2019-01-22 21:06:16
camouflagecaper,remember the banana splits,2019-01-22 21:06:18
cupoftea0,kill the doctor,2019-01-22 21:06:21
southernuk,this copper guy looks to be trying to channel the thin white duke quite a bit,2019-01-22 21:06:23
valeyard_x,is that a faucet knob?,2019-01-22 21:06:24
jkh08,@comanderskittles why no greatest show?,2019-01-22 21:06:25
lancelive,@mistersp00n she has a lot of uncertainty too,2019-01-22 21:06:28
zkx7,the black portillo,2019-01-22 21:06:28
ezco81,you are pathetic!,2019-01-22 21:06:29
serenity39,force choke,2019-01-22 21:06:30
stufew,why no greatest show??,2019-01-22 21:06:31
toratora_tt,bet he that to all the girls,2019-01-22 21:06:34
drakooooon,:) crow,2019-01-22 21:06:35
cupoftea0,bird man,2019-01-22 21:06:38
cmc12345678war910111213,leave him alone,2019-01-22 21:06:39
dammititsnate,nyahahahaha,2019-01-22 21:06:40
southernuk,kill the tor,2019-01-22 21:06:40
troyisimba,niahahahahaa,2019-01-22 21:06:41
zekrown_,nyehehe,2019-01-22 21:06:41
vivtheimplier,nya ha ha ha,2019-01-22 21:06:41
spectatorlo_ol,:),2019-01-22 21:06:42
mosborg,mehehehehe,2019-01-22 21:06:42
gysevenwho,nnnyaaaahahahahahahah,2019-01-22 21:06:42
adomnom,nyehhheheheh,2019-01-22 21:06:42
soulja92,that laugh,2019-01-22 21:06:43
anesthesiacat,nyeeeaaaahahahahaha,2019-01-22 21:06:43
c141c130,that laugh,2019-01-22 21:06:44
ezco81,the black choker!,2019-01-22 21:06:44
mitsukara,nyeh heh heh,2019-01-22 21:06:44
midwintermoon,hahaha that laugh made my day,2019-01-22 21:06:45
scrufluffugus,nyahahaha,2019-01-22 21:06:45
coffeefilter,evil laugh is evil,2019-01-22 21:06:45
strawberryrosegarden,nyyyyeeeeeahehehehe,2019-01-22 21:06:46
thehumblefellow,nyeh heh heh heh,2019-01-22 21:06:46
mr_ithil,:d,2019-01-22 21:06:46
stgfloydfreak,:d,2019-01-22 21:06:46
mrbfox1,dat laugh,2019-01-22 21:06:47
wakeupshoyuu,pet the bird on his head,2019-01-22 21:06:48
serenity39,datt laugh :d,2019-01-22 21:06:48
ammeeba,njeeeh njeeeh njeeeh,2019-01-22 21:06:48
jive_turkey1999,neh hahahaha,2019-01-22 21:06:49
terry_cooper,penguin laff,2019-01-22 21:06:50
mistersp00n,nyahh heh heh,2019-01-22 21:06:50
reeve2,nyehehe,2019-01-22 21:06:51
mclarenmercedes_,neahahahahahahha,2019-01-22 21:06:51
yavichan,nnyaaaahahahahaha,2019-01-22 21:06:55
ram99a,nyyaahahahaha,2019-01-22 21:06:55
livinginvideo,nyagh heh heh heh,2019-01-22 21:06:56
mr_ithil,straight off the 60s batman show,2019-01-22 21:06:57
doctordiscofan,choked him to everlsting life? that's new,2019-01-22 21:07:00
jovetne,(spoiler) this is the story that redeems turlough.,2019-01-22 21:07:01
toratora_tt,no not turlough!,2019-01-22 21:07:02
supaflash82,nea ha ha hah ha haaaaa,2019-01-22 21:07:05
tehepicjack,"oh, turlough! /:",2019-01-22 21:07:06
mitsukara,"he's no graham crowdon, but he'll do",2019-01-22 21:07:07
luciangregory,drunk alan rickman is tired of steve davis,2019-01-22 21:07:09
babu_02,q,2019-01-22 21:07:16
elios000,god that laugh reminded me of the bad guy from price of space :d,2019-01-22 21:07:18
tgfate,nyyyyeeeeeehehhehheh,2019-01-22 21:07:25
strawberryrosegarden,these eternals need to discover video games,2019-01-22 21:07:36
zkx7,:d,2019-01-22 21:07:41
comanderskittles,you cant have a god dam classic who marithon and not included renbrance,2019-01-22 21:07:48
anesthesiacat,but what about the tardis,2019-01-22 21:07:50
stufew,"rookie error, doctor",2019-01-22 21:07:51
glennrules,do u think black guardian is scary,2019-01-22 21:07:56
spectatorlo_ol,staring contest,2019-01-22 21:08:11
